CV1	CV2	energy	groups	mobility	Heuristic_Classes	Detected_Classes
-0.116220146474	0.131981115887	-167.175867	5	1.1639062799	Sheet	Noise
-0.0658997294357	0.0790591704374	-166.627074	5	1.01835940139	Sheet	Class4
-0.0666927538468	0.0773227711422	-166.608065	5	0.882572577411	Sheet	Class4
-0.0867424471004	0.0702226044567	-166.477232	5	0.875620222697	Sheet	Class4
0.0129918781864	0.0793919894183	-166.132245	5	0.00545553855467	Sheet	Class5
0.014144814777	0.0800224756797	-166.007086	5	0.00435801119774	Sheet	Class5
0.00806828514974	0.0612487822549	-165.946559	5	3.70835883698	Sheet	Class4
-0.0405200578818	0.0684641061872	-165.803887	5	0.871887897583	Sheet	Class4
0.0160634125829	0.0576292262683	-165.784587	5	3.99043294895	Sheet	Class4
-0.0708339836794	0.0783103570219	-165.676764	5	0.0157987796382	Sheet	Class4
0.00867911265978	0.0918660689714	-165.405334	5	0.00340039308062	Sheet	Class5
0.00663355477391	0.0933058317351	-165.382518	5	0.00347222048154	Sheet	Class5
-0.0803942715164	0.0795228144113	-165.368389	5	0.87206695612	Sheet	Class4
-0.0142084842992	0.108159150486	-165.327922	5	0.00491013951293	Sheet	Class5
-0.0712018288517	0.0389140443502	-165.314568	5	0.0096768278549	Gamma	Noise
0.0170293063154	0.0588777061268	-164.937617	5	3.6897501485	Sheet	Class4
-0.0625307257544	0.081988215996	-164.58845	5	1.04842892768	Sheet	Noise
-0.0636873400239	0.0816116507672	-164.582549	5	1.04343443207	Sheet	Class4
0.0122028217809	0.0816471025779	-164.543054	5	0.0050209649957	Sheet	Class5
-0.0495105612343	0.0819732255902	-164.331037	5	1.79422027473	Sheet	Noise
-0.0557521646601	0.0438735608059	-164.323418	5	0.571250599891	Gamma	Noise
0.014564442272	0.083736986489	-164.093358	5	0.00381891847687	Sheet	Class5
0.0965843522804	-0.0111348142875	-164.046381	5	0.706279777194	Sheet	Noise
-0.0636346260398	0.0634482698669	-164.002647	5	1.01960217168	Sheet	Class4
0.0284737448423	0.0661865712143	-163.934841	5	2.40125970573	Sheet	Class4
0.0281316726006	0.0648440377344	-163.878437	5	2.14194469771	Sheet	Class4
0.0520182041664	0.056062433684	-163.870193	5	3.05064611766	Sheet	Class4
0.0322656599653	0.0495040053158	-163.805167	5	0.924454643803	Sheet	Class4
0.0181689625385	0.0620616640059	-163.792184	5	4.27705693617	Sheet	Noise
0.023992412055	0.043860314131	-163.750011	5	0.128238180706	Gamma	Class4
0.0319305930248	0.0484685912036	-163.743973	5	1.17855189591	Sheet	Class4
0.0266404285486	0.0846375747992	-163.624336	5	1.90088731731	Sheet	Class5
0.101010491996	-0.0107088121909	-163.567415	5	0.665710079003	Sheet	Noise
0.0517910923627	0.055847809866	-163.536394	5	2.73348923844	Sheet	Class4
0.0330778711963	0.0498063112323	-163.525646	5	1.1631619098	Sheet	Class4
0.00116656620365	0.068279381953	-163.521377	5	1.13232556745	Sheet	Class4
0.000801603853275	0.0683472648236	-163.502453	5	1.13266150989	Sheet	Class4
0.0302064193053	0.0358734285865	-163.311539	5	0.181308227791	Gamma	Class4
0.0352222137321	0.0595046038923	-163.167587	5	0.454624884361	Sheet	Class4
0.0392259270731	0.0324395190586	-163.154135	5	0.568504275245	Sheet	Class4
0.0283171876231	0.0358435785141	-163.109621	5	1.49446154974	Sheet	Class4
0.0357284376631	0.0394454948898	-163.032447	5	1.66281894933	Gamma	Class4
0.0416943066072	0.0380659037883	-163.031011	5	1.28494134879	Sheet	Class4
-0.0627238690994	0.0346898373945	-162.952777	5	0.407388942166	Gamma	Noise
0.00543431843098	0.0747523386884	-162.885959	5	1.1137767149	Sheet	Class4
0.00310860789487	0.0748260526595	-162.843622	5	1.13218942781	Sheet	Class4
0.038171534695	0.0605728256561	-162.751532	5	0.845781935338	Sheet	Class4
0.0432767758037	0.0369380454871	-162.494668	5	3.88850854452	Gamma	Class4
0.0364954625632	0.0421024119608	-162.472269	5	0.90012968582	Sheet	Class4
-0.0449427340667	0.0668995202207	-162.358139	5	1.26886965921	Sheet	Noise
0.0373752459133	0.0460663551784	-162.305308	5	1.57260460751	Sheet	Class4
0.0273356336984	0.0761670556164	-162.27082	5	2.19433743893	Sheet	Class5
0.0417415645649	0.0387458245473	-162.004488	5	1.51390583015	Sheet	Class4
-0.0312906213449	0.0306043823762	-161.990816	5	0.735174421707	Gamma	Noise
-0.0492765815957	0.0359704139392	-161.890447	5	1.04027860534	Gamma	Noise
0.0454269164832	0.0431126026182	-161.886979	5	1.13846691998	Sheet	Class4
0.0269050392408	0.0925376883982	-161.886746	5	2.79511610744	Sheet	Noise
0.0299080379391	0.0356177948726	-161.883369	5	0.284052699018	Gamma	Class4
-0.198154619676	0.0212687067384	-161.870305	5	1.15435448867	Gamma	Noise
0.0511657825975	0.043827650226	-161.782948	5	1.59895027568	Sheet	Class4
0.086932136861	-0.017093351415	-159.549343	6	0.00138297504923	Gamma	Class2
0.12471191404	-0.0166491391881	-158.479748	6	0.00203218943602	Gamma	Noise
0.083865654391	-0.0317664020431	-158.183943	6	0.000469791049847	Gamma	Class2
0.103087285236	-0.0235047904379	-158.011451	6	0.0014240343617	Gamma	Class2
0.00907930419479	-0.0282336835537	-157.91002	6	0.210566659087	Gamma	Noise
0.046673830733	0.0327172209749	-157.611039	6	0.140376692109	Gamma	Class2
0.0892785360493	-0.0088950989034	-157.254254	6	0.0730412955772	Gamma	Class2
0.102709367812	-0.0198785796778	-157.08516	6	0.127081185339	Gamma	Class2
-0.0815503641461	0.0450155119978	-156.794775	6	0.00475153689917	Slipped_Gamma	Noise
-0.0829303358413	0.0471941700925	-156.697386	6	0.00523616997641	Slipped_Gamma	Noise
-0.0876313871126	0.0436509317544	-156.665363	6	0.00650660405487	Slipped_Gamma	Noise
-0.0614229186862	0.0309110581844	-156.344139	6	0.00381828192724	Slipped_Gamma	Noise
-0.0531828234926	0.0454980756123	-156.193139	6	0.104791645111	Gamma	Noise
0.151605234412	-0.0202240908215	-155.68814	6	0.356067959187	Gamma	Noise
0.148924429365	-0.015043105206	-155.210533	6	0.162129467272	Gamma	Noise
0.0259353368916	0.0406550047668	-155.055385	6	1.35878516381	Gamma	Noise
0.078800337467	-0.0202355351935	-154.764749	6	0.0017893356059	Gamma	Class2
0.0210467642274	-0.0468344937999	-154.628957	6	0.000482653720456	Gamma	Noise
-0.0948465570777	0.0508621524371	-153.424545	6	0.100460651678	Slipped_Gamma	Noise
0.13960926887	-0.00586066934146	-152.800077	6	0.00166474300716	Gamma	Noise
-0.00356273607988	-0.0506982681632	-147.977293	7	0.00640198949247	Gamma	Class3
-0.0725329082435	0.0159279349987	-143.793472	7	0.0060251464958	Gamma	Noise
